ID                                     0x8a30
Delivery_person_ID             INDORES12DEL01
Delivery_person_Age                  31.00000
Delivery_person_Ratings               5.00000
Restaurant_latitude                  22.74806
Restaurant_longitude                 75.89340
Delivery_location_latitude           22.75806
Delivery_location_longitude          75.90340
Order_Date                         17-03-2022
Time_Orderd                             11:55
Time_Order_picked                       12:10
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                   1.00000
Festival                                   No
City                                    Urban
Name: 2874, dtype: object
