ID                                     0x9960
Delivery_person_ID             CHENRES17DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 13.045479
Restaurant_longitude                80.233110
Delivery_location_latitude          13.055479
Delivery_location_longitude         80.243110
Order_Date                         11-03-2022
Time_Orderd                              8:50
Time_Order_picked                        9:05
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                      NaN
Name: 693, dtype: object
