ID                                    0x3deb
Delivery_person_ID             VADRES12DEL01
Delivery_person_Age                    36.00
Delivery_person_Ratings                 4.80
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.04
Delivery_location_longitude             0.04
Order_Date                        11-03-2022
Time_Orderd                            15:50
Time_Order_picked                      15:55
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Name: 429, dtype: object
