ID                                     0x52c8
Delivery_person_ID             CHENRES09DEL02
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 13.044694
Restaurant_longitude                80.261470
Delivery_location_latitude          13.094694
Delivery_location_longitude         80.311470
Order_Date                         30-03-2022
Time_Orderd                             19:50
Time_Order_picked                       19:55
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Name: 5408, dtype: object
