ID                                      0x3d15
Delivery_person_ID             CHENRES010DEL01
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  13.066762
Restaurant_longitude                 80.251865
Delivery_location_latitude           13.076762
Delivery_location_longitude          80.261865
Order_Date                          30-03-2022
Time_Orderd                               9:55
Time_Order_picked                         9:60
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Name: 5251, dtype: object
