ID                                      0x5b1d
Delivery_person_ID             COIMBRES20DEL02
Delivery_person_Age                  20.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.014136
Delivery_location_longitude          76.983303
Order_Date                          15-03-2022
Time_Orderd                              11:55
Time_Order_picked                        12:10
Weather conditions                      Cloudy
Road_traffic_density                      High
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Name: 8937, dtype: object
