ID                                       0x6187
Delivery_person_ID                MUMRES03DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   19.223840
Restaurant_longitude                  72.841347
Delivery_location_latitude            19.263840
Delivery_location_longitude           72.881347
Order_Date                           24-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         12:40
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Name: 2965, dtype: object
