ID                                     0x8085
Delivery_person_ID             INDORES12DEL01
Delivery_person_Age                  28.00000
Delivery_person_Ratings               4.40000
Restaurant_latitude                  22.74806
Restaurant_longitude                 75.89340
Delivery_location_latitude           22.78806
Delivery_location_longitude          75.93340
Order_Date                         24-03-2022
Time_Orderd                             12:30
Time_Order_picked                       12:45
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                   1.00000
Festival                                   No
City                            Metropolitian
Name: 230, dtype: object
