ID                                    0x4af3
Delivery_person_ID             HYDRES08DEL03
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                17.438263
Restaurant_longitude               78.397865
Delivery_location_latitude         17.468263
Delivery_location_longitude        78.427865
Order_Date                        09-03-2022
Time_Orderd                            18:60
Time_Order_picked                      19:10
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                     NaN
Name: 27, dtype: object
