ID                                        0x73ec
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    36.000000
Delivery_person_Ratings                 4.600000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.414422
Delivery_location_longitude            85.392900
Order_Date                            17-03-2022
Time_Orderd                                21:30
Time_Order_picked                          21:40
Weather conditions                           Fog
Road_traffic_density                         Jam
Vehicle_condition                              1
Type_of_order                               Meal
Type_of_vehicle                          scooter
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Name: 14, dtype: object
