ID                                       0x447a
Delivery_person_ID             RANCHIRES16DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.371292
Restaurant_longitude                  85.327872
Delivery_location_latitude            23.391292
Delivery_location_longitude           85.347872
Order_Date                           01-03-2022
Time_Orderd                                8:50
Time_Order_picked                          8:60
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Name: 7892, dtype: object
