ID                                      0x3659
Delivery_person_ID             COIMBRES05DEL03
Delivery_person_Age                  34.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.022169
Restaurant_longitude                 76.999594
Delivery_location_latitude           11.112169
Delivery_location_longitude          77.089594
Order_Date                          27-03-2022
Time_Orderd                              19:10
Time_Order_picked                        19:15
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Name: 1393, dtype: object
