ID                                    0x271a
Delivery_person_ID             VADRES07DEL01
Delivery_person_Age                    29.00
Delivery_person_Ratings                 3.80
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        11-03-2022
Time_Orderd                            11:25
Time_Order_picked                      11:40
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Name: 1789, dtype: object
