ID                                     0x29fe
Delivery_person_ID             INDORES05DEL01
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 22.727021
Restaurant_longitude                75.884167
Delivery_location_latitude          22.737021
Delivery_location_longitude         75.894167
Order_Date                         28-03-2022
Time_Orderd                              9:35
Time_Order_picked                        9:50
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Name: 10044, dtype: object
