ID                                    0xda09
Delivery_person_ID             KOCRES14DEL02
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                10.027014
Restaurant_longitude               76.308053
Delivery_location_latitude         10.047014
Delivery_location_longitude        76.328053
Order_Date                        15-02-2022
Time_Orderd                             9:60
Time_Order_picked                      10:05
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Name: 9285, dtype: object
