ID                                      0xaf83
Delivery_person_ID             COIMBRES01DEL02
Delivery_person_Age                  34.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.066298
Delivery_location_longitude          77.022076
Order_Date                          28-03-2022
Time_Orderd                              18:60
Time_Order_picked                        19:05
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                        NaN
Festival                                    No
City                                     Urban
Name: 5829, dtype: object
