ID                                       0x7030
Delivery_person_ID             RANCHIRES03DEL03
Delivery_person_Age                       26.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           02-04-2022
Time_Orderd                               19:10
Time_Order_picked                         19:20
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Name: 102, dtype: object
