ID                                      0x6a33
Delivery_person_ID             COIMBRES20DEL01
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.004136
Delivery_location_longitude          76.973303
Order_Date                          01-03-2022
Time_Orderd                               8:10
Time_Order_picked                         8:25
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Name: 7333, dtype: object
