ID                                     0x8483
Delivery_person_ID             CHENRES04DEL01
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 13.029780
Restaurant_longitude                80.208812
Delivery_location_latitude          13.039780
Delivery_location_longitude         80.218812
Order_Date                         11-03-2022
Time_Orderd                             10:55
Time_Order_picked                       10:60
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Name: 6391, dtype: object
