ID                                     0x594
Delivery_person_ID             VADRES07DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                    -0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.06
Delivery_location_longitude             0.06
Order_Date                        28-03-2022
Time_Orderd                              NaN
Time_Order_picked                      21:50
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Name: 1162, dtype: object
