ID                                    0x81a1
Delivery_person_ID             SURRES06DEL03
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                21.185047
Restaurant_longitude               72.808590
Delivery_location_latitude         21.275047
Delivery_location_longitude        72.898590
Order_Date                        12-03-2022
Time_Orderd                            23:35
Time_Order_picked                      23:50
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Name: 8922, dtype: object
