ID                                    0x56cd
Delivery_person_ID             MYSRES17DEL01
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                12.326356
Restaurant_longitude               76.619103
Delivery_location_latitude         12.396356
Delivery_location_longitude        76.689103
Order_Date                        14-03-2022
Time_Orderd                            17:30
Time_Order_picked                      17:35
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Name: 8630, dtype: object
