ID                                       0xbbd1
Delivery_person_ID                MUMRES18DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   19.109300
Restaurant_longitude                  72.825451
Delivery_location_latitude            19.129300
Delivery_location_longitude           72.845451
Order_Date                           30-03-2022
Time_Orderd                                8:40
Time_Order_picked                          8:45
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Name: 3060, dtype: object
