ID                                     0x6553
Delivery_person_ID             PUNERES05DEL03
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 18.543626
Restaurant_longitude                73.905101
Delivery_location_latitude          18.603626
Delivery_location_longitude         73.965101
Order_Date                         17-03-2022
Time_Orderd                             20:60
Time_Order_picked                       21:15
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Name: 8033, dtype: object
