ID                                      0x9849
Delivery_person_ID             COIMBRES11DEL02
Delivery_person_Age                  21.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.021753
Delivery_location_longitude          77.006241
Order_Date                          30-03-2022
Time_Orderd                               9:10
Time_Order_picked                         9:25
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Name: 2083, dtype: object
