ID                                       0x9a69
Delivery_person_ID             RANCHIRES19DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.373017
Delivery_location_longitude           85.357200
Order_Date                           13-03-2022
Time_Orderd                               15:50
Time_Order_picked                         15:60
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Name: 499, dtype: object
