ID                                       0x1e82
Delivery_person_ID             RANCHIRES20DEL02
Delivery_person_Age                   21.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.399250
Restaurant_longitude                  85.390464
Delivery_location_latitude            23.419250
Delivery_location_longitude           85.410464
Order_Date                           15-03-2022
Time_Orderd                               10:10
Time_Order_picked                         10:20
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Name: 10174, dtype: object
